"uid","profit","round"
"224265",-23500,4
"272546",16250,1
"224755",-9100,4
"297063",-18750,3
"294466",-7500,2
"278102",-12500,2
"227424",-6250,1
"258313",-8750,3
"260875",-13750,3
"299053",111250,3
"226904",-10250,2
"228603",-7500,2
"211097",-6250,1
"253159",51250,3
"236300",-13000,3
"253962",4500,4
"284573",-500,1
"268795",-3500,4
"211594",12500,3
"285093",-6500,3
"288647",-6250,1
"204766",-12500,2
"238001",14250,3
"203783",-5000,1
"277761",10000,1
"264115",-12500,2
"231112",-30000,5
"268437",-8750,3
"295391",6750,4
"210137",-30500,5
"202394",-25000,4
"265792",-6250,1
"209317",-2750,4
"251964",6500,4
"221670",-8175,5
"228196",-5000,2
"278886",-28500,5
"282813",-8300,3
"266765",0,3
"231302",-12500,2
"260258",-6250,1
"246199",49750,3
"278583",-21750,4
"271491",-6250,1
"269593",18750,2
"291500",-18750,3
"251247",-6250,1
"269195",-13500,3
"224755",-9725,5
"297063",29000,4
"280114",16250,2
"294466",-12500,3
"278102",-18750,3
"225908",28750,2
"227424",-7500,2
"258313",-9375,4
"260875",-16250,4
"242668",-1000,1
"299053",105000,4
"226904",-16500,3
"287650",14500,2
"228603",-13750,3
"211097",-12500,2
"298750",0,1
"253159",45000,4
"291306",-5500,3
"236300",-15500,4
"211594",16250,4
"299293",-1250,1
"285093",-7450,4
"288647",-7000,2
"211840",-6250,1
"204766",-13500,3
"225182",27750,5
"292509",250,1
"272546",16250,2
"214103",-6250,1
"297103",-8000,5
"264115",-18750,3
"231112",-36250,6
"268437",-9375,4
"247161",22500,5
"210137",-36750,6
"202394",-31250,5
"287414",-1500,1
"265792",-7500,2
"224265",-28250,5
"274809",12500,1
"228196",-6100,3
"278886",-32500,6
"266765",-4750,4
"260258",-7500,2
"231302",-18750,3
"246199",45750,4
"288947",-4700,2
"278583",-23000,5
"271491",5000,2
"291500",-25000,4
"208538",-6250,1
"268795",-8500,5
"251247",-10000,2
"224755",-9850,6
"278102",-25000,4
"265669",-3750,1
"208923",-6250,1
"258313",-9400,5
"238001",8000,4
"299053",98750,5
"226904",-22750,4
"228603",-20000,4
"207358",3750,1
"211097",-18750,3
"253159",60750,5
"253962",-1750,5
"209317",-9000,5
"284573",14000,2
"291306",-10500,4
"286441",500,1
"251964",250,5
"211840",-12500,2
"292532",-6250,1
"203783",-3250,2
"277761",3750,2
"225182",21500,6
"223459",-6250,1
"214103",-12500,2
"264115",-25000,4
"201416",-6250,1
"231112",-42500,7
"268437",-9250,5
"269593",12500,3
"210137",-43000,7
"295391",18000,5
"269195",10250,4
"297063",22750,5
"202394",-34500,6
"280114",10000,3
"260875",34500,5
"265792",-4600,3
"293428",-6250,1
"221670",-9425,6
"225908",52500,3
"266881",-4000,1
"282813",-9550,4
"299293",-500,2
"260258",-6950,3
"231302",-25000,4
"287650",8250,3
"291500",-31250,5
"277319",-6250,1
"208538",-12500,2
"252158",-3750,1
"294466",-18750,4
"224755",-9660,7
"278102",-26750,5
"227424",-5500,3
"208923",-12500,2
"292509",-6000,2
"211594",10000,5
"242668",-7250,2
"253959",-6250,1
"238001",2500,5
"299053",92500,6
"298750",-5500,2
"204766",500,4
"226904",-25000,5
"228603",-26250,5
"225607",-6250,1
"211097",-25000,4
"253962",17000,6
"236300",-1750,5
"209317",-15250,6
"297103",-6750,6
"224660",-6250,1
"285093",-8700,5
"288647",-8250,3
"272546",10000,3
"251964",-6000,6
"211840",-18750,3
"292532",-12500,2
"220579",4000,1
"247161",17750,6
"287414",-7750,2
"277761",-2500,3
"278583",-29250,6
"225182",15250,7
"223459",-12500,2
"250194",-6250,1
"265669",-10000,2
"271491",-1250,3
"214103",-18750,3
"264115",-31250,5
"201416",-12500,2
"231112",-48750,8
"210185",-6250,1
"274809",6250,2
"269593",6250,4
"210137",-46750,8
"278886",-38750,7
"251247",-11250,3
"266765",-11000,5
"207358",12500,2
"297063",23500,6
"280114",3750,4
"293428",-12500,2
"246236",0,1
"224265",-34500,6
"221670",-8925,7
"282813",-9510,5
"268795",-13500,6
"228196",-6450,4
"231302",-31250,5
"269914",-6250,1
"246199",39500,5
"288947",-5150,3
"287650",8250,4
"291500",-37500,6
"277319",-12500,2
"208538",-13750,3
"263336",-6250,1
"287218",-6250,1
"294466",37500,5
"258313",-9480,6
"284573",7750,3
"208923",-18750,3
"292509",-12250,3
"211594",3750,6
"242668",-8500,3
"253959",-5500,2
"272628",-6250,1
"291306",-15500,5
"295391",11750,6
"299053",106250,7
"253159",54500,6
"230982",98750,1
"228603",-32500,6
"225607",-12500,2
"211097",-31250,5
"286441",-5750,2
"266881",-10250,2
"209317",-21500,7
"224660",-12500,2
"263069",-5500,1
"285093",-9050,6
"288647",-9500,4
"272546",5000,4
"251964",-750,7
"200970",-6250,1
"211840",-24250,4
"292532",-18750,3
"203783",-9500,3
"286549",-6250,1
"269195",4000,5
"287414",-14000,3
"277761",-5750,4
"278583",-35500,7
"225182",59000,8
"278102",-33000,6
"223459",-18750,3
"260875",28250,6
"250194",500,2
"265669",-16250,3
"252158",15000,2
"299293",-3000,3
"271491",-7500,4
"268014",-4750,1
"268437",-9800,6
"214103",-22500,4
"202394",-39500,7
"264115",-37500,6
"201416",-18750,3
"231112",-50000,9
"210185",-12500,2
"225908",46250,4
"227424",-11750,4
"274809",750,3
"269593",0,5
"265792",-4100,4
"278886",-40500,8
"231074",-6250,1
"266765",-15750,6
"280114",-1250,5
"293428",-18750,3
"224265",-34500,7
"260258",-7600,4
"265284",-6250,1
"231302",-37500,6
"269914",-7500,2
"298750",-11750,3
"246199",33250,6
"238436",-6250,1
"291500",-43750,7
"277319",-15750,3
"263336",-10000,2
"226904",-27000,6
"224755",-9575,8
"287218",-11250,2
"297805",-6250,1
"204766",-5750,5
"253962",28750,7
"236300",-8000,6
"297103",-13000,7
"284573",7500,4
"208923",-25000,4
"277756",-6250,1
"292509",-18500,4
"211594",-2500,7
"242668",-5750,4
"272628",-12500,2
"238001",1250,6
"220579",62750,2
"295391",21250,7
"253159",48250,7
"214815",-2500,1
"228603",-38750,7
"225607",-18750,3
"211097",-37500,6
"286441",9250,3
"266881",-16500,3
"209317",-23250,8
"224660",-18750,3
"207319",-6250,1
"288647",-9625,5
"200970",-12500,2
"219507",-6250,1
"287650",2750,5
"292532",0,4
"247161",50500,7
"203783",-9505,4
"210137",-53000,9
"286549",34750,2
"238136",-500,1
"269195",-2250,6
"287414",-15250,4
"278583",-41750,8
"207358",6250,3
"278102",-39250,7
"223459",-12500,4
"260875",23250,7
"265669",-16250,4
"268795",-18500,7
"294257",-6250,1
"271491",-13750,5
"208538",-20000,4
"264115",-43750,7
"201416",-19000,4
"210185",-17500,3
"297063",18000,7
"225908",40750,5
"227424",-18000,5
"291306",-21750,6
"298874",-6250,1
"251247",112500,4
"269593",17500,6
"246236",-6250,2
"231074",-11750,2
"293428",-17000,4
"221670",-9550,8
"282813",-9635,6
"228196",-7400,5
"265284",47500,2
"230982",93750,2
"231302",-38750,7
"269914",-8450,3
"259527",6250,1
"298750",-11750,4
"288947",-6400,4
"246199",27000,7
"238436",-6500,2
"217684",-6250,1
"291500",-50000,8
"294466",31250,6
"227333",-4000,1
"297805",-12500,2
"204766",-12000,6
"272546",-1250,5
"251964",-7000,8
"299293",-2750,4
"258313",-8975,7
"299053",100000,8
"236300",-14250,7
"297103",-16000,8
"253959",-6750,3
"261257",-6250,1
"208923",-31250,5
"277756",-7350,2
"292509",-24750,5
"211594",-5750,8
"272628",-8250,3
"250194",-5750,3
"263069",4000,2
"218555",-6250,1
"253159",42000,8
"228603",-24250,8
"225607",-25000,4
"211097",-43000,7
"252158",9500,3
"238892",-6250,1
"214103",-28750,5
"266881",-22750,4
"224660",-25000,4
"225182",54250,9
"207319",0,2
"285093",-7800,7
"288647",-9675,6
"211840",35750,5
"200970",-18750,3
"219507",-7000,2
"252112",-5000,1
"202394",-45750,8
"231112",-54750,10
"224265",-28250,8
"210137",-59250,10
"256891",-6250,1
"263336",-16250,3
"277761",3500,5
"269195",-7250,7
"278583",-48000,9
"207358",0,4
"278102",-45500,8
"268014",-11000,2
"294257",-5000,2
"271491",-17000,6
"208538",-19750,5
"277241",-6250,1
"268437",-9775,7
"264115",-45000,8
"226904",-33250,7
"266765",-20500,7
"274809",-5500,4
"227424",45750,6
"291306",-18000,7
"298874",-11250,2
"277319",-22000,4
"285070",-6250,1
"265792",-5350,5
"278886",-46750,9
"246236",-7500,3
"280114",-7500,6
"221670",-9605,9
"260258",-4600,5
"282813",-9760,7
"287218",-17500,3
"223411",-6250,1
"288947",-7650,5
"246199",30750,8
"217684",-9500,2
"284573",241250,5
"236802",-6250,1
"291500",-48750,9
"238001",11250,7
"253962",22500,8
"224755",-9700,9
"294466",25000,7
"297805",-14250,3
"204766",-18250,7
"247161",64250,8
"263537",-6250,1
"260875",17000,8
"265669",-20000,5
"262374",38750,1
"272546",-7500,6
"251964",-13250,9
"286549",31000,3
"287650",2250,6
"286441",3000,4
"209317",-23250,9
"299053",93750,9
"236300",-20500,8
"242668",-7000,5
"261257",-12500,2
"253959",-8000,4
"297063",11750,8
"208923",-37500,6
"292509",-31000,6
"250194",9250,4
"295391",17500,8
"220579",56500,3
"218555",-11750,2
"214815",-8750,2
"253159",51500,9
"284145",-1250,1
"225607",-21250,5
"238892",-12500,2
"292532",-4750,5
"214103",-35000,6
"238136",-6750,2
"231302",-27000,8
"269838",16000,1
"266881",-21500,5
"224660",-31250,5
"210185",-22500,4
"231074",-15500,3
"293428",-18750,5
"211632",4500,1
"200970",-25000,4
"202394",-52000,9
"287414",-20000,5
"223459",20000,5
"268795",-24750,8
"203783",-8955,5
"210137",-65500,11
"256891",-7500,2
"265284",41250,3
"230982",87500,3
"251247",106250,5
"269593",26250,7
"216037",-6250,1
"263336",-22500,4
"278583",-54250,10
"207358",-6250,5
"278102",-51750,9
"225908",47000,6
"227333",-250,2
"268359",-6250,1
"268014",-15750,3
"298750",-16250,5
"201416",-25250,5
"277241",-7500,2
"264115",-45500,9
"226904",-39500,8
"274809",-11750,5
"277319",-28250,5
"285070",12500,2
"243315",-4750,1
"265792",-6600,6
"278886",-51000,10
"272628",-14500,4
"246236",-8450,4
"280114",-8750,7
"228196",-2050,6
"297103",-22250,9
"282813",-9825,8
"287218",-23750,4
"269914",-9500,4
"259527",0,2
"223411",-12500,2
"251376",-6250,1
"288947",-7850,6
"238436",-7750,3
"236802",-6500,2
"225773",-6250,1
"299293",-9000,5
"263069",-2250,3
"253962",32500,9
"208912",-3250,1
"207319",-6250,3
"224755",-9825,10
"294466",34500,8
"204766",-24500,8
"263537",-3050,2
"260875",10750,9
"252158",4750,4
"258313",-9450,8
"277420",8750,1
"271491",-23250,7
"272546",-13750,7
"251964",-19500,10
"269195",61500,8
"231112",-61000,11
"225182",160500,10
"277756",-8600,3
"266765",-24500,8
"211594",-5250,9
"286441",500,5
"299053",87500,10
"236300",-26750,9
"242668",-8250,6
"261257",-15000,3
"253959",-9250,5
"208923",-43750,7
"297063",6250,9
"292509",-37250,7
"227424",39500,7
"243819",5000,1
"291306",-24250,8
"220579",57750,4
"214815",-9375,3
"277761",-250,6
"228603",-29750,9
"211097",-36750,8
"238892",-15750,3
"265302",-6250,1
"219507",48000,3
"208538",-25250,6
"214103",-41250,7
"238136",-4750,3
"224660",-18000,6
"224265",-34500,9
"285093",-8050,8
"246199",24500,9
"288647",-9800,7
"211840",35500,6
"284573",235000,6
"200970",-31250,5
"298874",-12500,3
"252112",-11250,2
"202394",-58250,10
"232927",-1250,1
"268795",-31000,9
"210137",-71750,12
"265284",35000,4
"230982",81250,4
"251247",101500,6
"216037",-10500,2
"247161",73000,9
"263336",-27250,5
"278583",-60500,11
"227639",14500,1
"207358",-8000,6
"278102",-43000,10
"268359",-7200,2
"294257",-11250,3
"268437",-9900,8
"227036",-6250,1
"201416",-31500,6
"277241",-8750,3
"226904",-45750,9
"274809",-11750,6
"277540",-6250,1
"218555",-1750,3
"277319",-29500,6
"287650",-4000,7
"265792",-7850,7
"272628",-1500,5
"280114",-7375,8
"221670",-8530,10
"260258",-5850,6
"291500",-50000,10
"240531",-6250,1
"297103",-28500,10
"287218",-30000,5
"266881",-27750,6
"259527",-6250,3
"223411",-7500,3
"209317",-23500,10
"251376",-12500,2
"238436",-7000,4
"217684",-15750,3
"262374",36250,2
"253159",45250,10
"287835",-6250,1
"225773",-12500,2
"286549",24750,4
"265669",-26250,6
"225607",-27500,6
"238001",5000,8
"211632",-1750,2
"292532",-9500,6
"299293",-15250,6
"263069",-8500,4
"251949",-6250,1
"207319",-12500,4
"297805",-14250,4
"224755",-9950,11
"204766",-30750,9
"260875",4500,10
"227333",-6500,3
"290798",-6250,1
"295391",11250,9
"271491",-29500,8
"256891",-13750,3
"272546",-20000,8
"231302",-27250,9
"251964",-25750,11
"210185",-27250,5
"231074",-21750,4
"231112",-67250,12
"250194",3000,5
"277756",-9850,4
"299053",81250,11
"236300",-33000,10
"242668",-8500,7
"253959",-9575,6
"208923",-24000,8
"292509",-43500,8
"225908",55750,7
"227424",34500,8
"291306",-30500,9
"284145",-6000,2
"287414",-26250,6
"214815",-9500,4
"277442",-6250,1
"214247",-6250,1
"298750",-22500,6
"269838",24750,2
"265302",-5000,2
"243315",-3250,2
"214103",83750,8
"293428",-25000,6
"224265",-30750,10
"272663",37750,1
"246199",18250,10
"288647",-9895,8
"284573",231250,7
"200970",-37500,6
"252112",-17500,3
"202394",-64500,11
"223459",13750,6
"278886",-57250,11
"203783",-9580,6
"268014",-2000,4
"268795",-33500,10
"253962",26250,10
"218204",-1250,1
"208912",-9500,2
"210137",-63000,13
"265284",29500,5
"269593",20000,8
"230982",75000,5
"278583",-64250,12
"294257",-17500,4
"277420",4000,2
"268437",-9975,9
"257981",25000,1
"227036",12500,2
"264115",-46750,10
"201416",-25250,7
"277241",-9375,4
"226904",-50500,10
"211594",-11500,10
"277540",-10250,2
"236802",-12750,3
"216242",43750,1
"285070",6250,3
"287650",-10250,8
"265792",-9100,8
"246236",-9400,5
"228196",-8300,7
"243819",-1250,2
