"uid","pay","profit","round"
205958,6250,-1250,1
249300,6250,-12500,2
228908,6250,-6250,2
228241,6250,-18750,3
238979,6250,101250,4
271071,6250,-14000,3
239440,6250,-6250,1
220688,6250,-12500,2
297473,6250,-6250,1
234633,6250,11250,3
232187,6250,-12500,2
268516,6250,-1250,5
295368,6250,12000,4
288734,6250,-6250,1
228620,6250,146250,3
236697,6250,-18000,3
228622,6250,-6250,1
270260,6250,-11000,2
215452,6250,10000,2
211039,6250,-21000,4
218762,6250,-22000,4
249453,6250,-6250,1
247438,6250,29000,2
215008,6250,-16250,3
240031,625,-9825,5
202475,6250,-23000,5
235044,6250,-26750,5
202940,6250,-9500,2
224253,6250,-6250,1
200573,6250,-4250,2
262917,6250,-10250,2
200598,6250,10250,1
205317,1250,-8750,3
232238,6250,-23000,4
254935,6250,-8250,3
296311,6250,-3750,1
270177,625,-9375,4
284306,6250,-18750,3
256242,6250,-31250,5
253488,6250,8000,4
228001,6250,-6250,1
288720,6250,8500,2
233046,6250,89750,4
270029,6250,-6250,1
260363,6250,115250,2
245231,6250,-12500,2
231149,6250,-6250,1
214802,6250,-18750,3
239604,6250,-7250,4
273673,6250,114000,2
222017,6250,-3750,1
299178,6250,44000,4
236136,6250,127500,4
238778,6250,-20500,4
212063,6250,-12000,3
215863,6250,-22750,4
245454,6250,33750,3
283195,6250,-6250,1
253732,6250,-25000,4
225077,6250,-9500,2
254802,6250,28750,5
290914,6250,-2500,4
263411,6250,-12250,3
223733,6250,-25000,4
219800,6250,-6250,1
250327,1250,-7250,4
248395,6250,-7500,2
205648,1250,-8750,3
281702,6250,-6250,1
274405,6250,-2500,3
215139,6250,-4500,4
215872,6250,14500,2
250164,6250,-12500,5
233102,6250,-12500,2
204618,6250,-6250,1
218502,6250,-18750,3
236098,6250,31500,4
250815,1250,-7500,2
285258,6250,-6250,1
244930,6250,-25000,4
277853,6250,500,2
265834,1250,-3450,3
224164,6250,-12500,2
228409,6250,-19250,4
237367,6250,6250,1
297972,6250,-15000,3
221078,6250,-23750,4
224337,6250,-6250,1
262797,6250,25000,6
203362,625,-9775,5
249300,6250,-18750,3
205107,6250,-4750,1
228908,6250,-12500,3
228241,6250,-9250,4
238979,6250,95000,5
270826,6250,-1250,2
289862,6250,10500,2
271071,6250,-18750,4
239440,6250,15000,2
234893,6250,-6750,3
213647,6250,-5000,1
220688,6250,-18750,3
297473,6250,-12500,2
245697,6250,-3750,1
232187,6250,-18750,3
268516,6250,-6750,6
288734,6250,-12500,2
287432,6250,250,1
236153,6250,31500,4
228622,6250,-11750,2
219839,6250,-6250,1
296186,6250,54750,3
270260,6250,-17250,3
256441,6250,23250,5
205930,6250,112750,4
211039,6250,-27250,5
218762,6250,-28250,5
249453,6250,-12500,2
290625,6250,3750,1
240031,125,-9950,6
202475,6250,-29250,6
235044,6250,-28750,6
237524,6250,27500,2
224253,6250,-12500,2
274356,6250,-250,1
276746,6250,-21750,5
204270,6250,-6250,1
205317,625,-9375,4
221290,6250,25750,5
223580,6250,-11250,2
254935,6250,-14500,4
270177,125,-9450,5
271466,6250,3750,1
284306,6250,-25000,4
213421,6250,50000,5
256242,6250,-37500,6
253488,6250,1750,5
295048,6250,-6250,1
228001,6250,-8750,2
270029,6250,-11000,2
204455,6250,-1250,1
245231,6250,-18750,3
231149,6250,-12500,2
245844,6250,-6250,1
279141,6250,22500,6
214802,6250,-22750,4
205958,6250,-2500,2
291057,6250,250,4
